time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.934239314821193e-08,-2.1988224997877835e-08,10.003789045586556,6.283156174207598,6.283096316487384,0.0,6.501327688729748e-06,-2.2564071040718395e-06,0.12629514664652458,-0.001474861813741092,-0.004628285741097329,0.0,445.59587602299337,445.21746197562635,444.98326657894506,444.8625499719678
0.12000000000000001,2.740994591395483e-06,-9.466827099208736e-07,10.011071434336163,6.283069304560483,6.282998991019662,0.0,9.845759424394603e-05,-3.6084664903840125e-05,0.11645231729939849,-0.0013938095279579074,0.003798871284107353,0.0,399.5262355414105,400.29373881791844,401.19965011059173,401.20703907623135
0.18,1.1854165333875477e-05,-6.030065184294922e-06,10.022071576811822,6.28267396241451,6.283086367994255,0.0,0.00018793952986577607,-0.0001559629217113521,0.2501985137462398,-0.019804375290969893,-0.00369759490203733,0.0,448.09051226819116,447.4807679876177,447.9715781991753,446.4723684182813
0.23999999999999996,2.6047828410652725e-05,-3.0282257853196097e-05,10.039686405565043,6.281349294373177,6.282588098376618,0.0,0.0003190843883697236,-0.0007776936550963785,0.3369401089747282,-0.027063221007614865,-0.01963509897400085,0.0,433.2927910254429,431.9511781709484,433.1883301588696,432.5775657935923
0.3,6.589038032934456e-05,-0.0001307767255115753,10.067562212300306,6.279939506515792,6.281342949625181,0.0,0.0011602434454041843,-0.0027604868587359655,0.5921553778408666,-0.017178012477271652,-0.02308629603996415,0.0,484.47837319380676,484.21890843924507,482.88594189521365,483.6309201532206
0.36000000000000004,0.00018779843495604143,-0.0003819840789111536,10.110303404282458,6.278678644161889,6.279813177509292,0.0,0.0030813797058646076,-0.0057515590511514674,0.8324060700902898,-0.03007167240359799,-0.030812833629110158,0.0,480.51837221104546,479.9323002799768,479.7396359787243,478.7597801484232
0.4200000000000001,0.0004499842578738257,-0.0008285915274433255,10.163547594430732,6.2765554634552,6.2784150166938435,0.0,0.005822574368776335,-0.009335041490068653,0.9423139962724603,-0.04899771313981022,-0.011418496172040831,0.0,440.21978067016585,441.8213592801515,441.27496678299156,439.7094271889929
0.48000000000000015,0.0008819855301766707,-0.001509937270542122,10.219344117438084,6.273153657351433,6.277963971132902,0.0,0.008624220494448623,-0.013634741656471971,0.9175882374994774,-0.08019754280134644,-0.0006767214312068137,0.0,396.85724323633326,397.8419679942046,396.6564585744542,393.77809449432465
0.5400000000000001,0.0015062142949780158,-0.002551245401830552,10.277173380429417,6.268274576361328,6.278002040545168,0.0,0.012182999728844197,-0.021563370052286094,1.00997060553839,-0.0836572466707307,0.003135987697320505,0.0,435.47602019366826,435.79477727767187,435.23396869249814,434.93883691671937
0.6000000000000002,0.0023624408411757228,-0.004231388341338717,10.34451485829222,6.263434447625432,6.278500295545539,0.0,0.016313493891335174,-0.03503100579272097,1.23452023112602,-0.07528021860819625,0.017031897869726583,0.0,475.9680567690205,477.03011846849506,474.87182676675127,475.5090880972801
0.6600000000000003,0.0034433397508260295,-0.006801703252851104,10.423678594751408,6.25854884760215,6.279717774721586,0.0,0.019589052628053105,-0.051165267987179075,1.4040670528474821,-0.09801830026815085,0.02612119320377839,0.0,460.1519991773042,460.87085588929943,460.3909734921444,458.5831727353264
0.7200000000000003,0.004692577605377489,-0.010469074089163997,10.513485775263717,6.252723425618669,6.281123744403656,0.0,0.021880270958999994,-0.07174502261940319,1.5892485876236428,-0.09529758253392089,0.01742680896100339,0.0,464.97830245661856,464.2967723033098,465.5488988559326,465.75411562931134
0.7800000000000004,0.006043142013756055,-0.01541218413344233,10.611433197427065,6.247150042312445,6.282266487600525,0.0,0.023028672851025576,-0.09358547541205543,1.6755235729251985,-0.08846625493895813,0.022101213688750745,0.0,433.7745249319682,434.16681840007413,436.02604360336755,436.5888457783755
0.8400000000000004,0.007439567118513054,-0.02185619363574561,10.716684250239549,6.241704953799626,6.2830758626474825,0.0,0.023387596308103175,-0.12179937489662175,1.8325821060438465,-0.09576199840466748,-0.015542686214327577,0.0,458.7690245529886,455.77046974923724,458.06498878940766,457.47780810723725
0.9000000000000005,0.00884893676238728,-0.030113995976483947,10.831298182984368,6.236207010921197,6.282304250661472,0.0,0.0236847350544502,-0.1540678863593886,1.9875961060499054,-0.08444576608723205,-0.00797285611381412,0.0,456.50645856422807,457.11016940653394,457.67288976171244,458.5657656061279
0.9600000000000005,0.010293478301603896,-0.04051682900711386,10.957057694923604,6.230743813258069,6.281798277001432,0.0,0.024524983471934363,-0.19329602096670367,2.2039617409419363,-0.1094778981947984,-0.009369240538740347,0.0,476.32549976927737,476.2188307365992,477.4290841182323,475.50877501993506
1.0200000000000005,0.011792993091588625,-0.05312952279413513,11.090527764184769,6.2239823979899,6.281430120708169,0.0,0.02550152966405537,-0.22774380513122058,2.244922053141471,-0.12003775750870314,-0.00034741501686052015,0.0,422.15934208220614,422.9371580725638,423.73921179633976,422.8184126654411
1.0800000000000005,0.01336243656459018,-0.068146768146591,11.229882993992774,6.21715025702361,6.281355148222948,0.0,0.026817894628146616,-0.2735826796380385,2.3998852028080235,-0.10375185859636034,-0.003117912372983891,0.0,459.52649937798213,459.3068654680994,458.41459584625693,459.6955739649406
1.1400000000000006,0.015010963986200214,-0.08598962086056462,11.377443677236643,6.211594058546309,6.281362734526017,0.0,0.028141230518870203,-0.32177311374394035,2.5185000145830103,-0.07650599291969835,0.005932968120989418,0.0,448.3884881570712,449.1231543762308,447.8117605068176,450.01497219304224
